sensor0,sensor1,sensor2,target
483.13912086028415,300.8885290845763,848.4409744237488,151.25213187796544
761.3405371428171,297.9632005563088,848.4119527663701,199.33987403392183
298.69375344080356,299.4857972594601,848.9975113014024,33.34918746989672
725.8041677351339,301.71539235714096,847.8527868806785,198.1819801926396
733.0654686404619,299.19601150572964,847.6170092805094,198.49684833034823
734.7342576797881,299.28315234786385,850.3780497561851,198.4534392909956
299.44120125084737,297.6600292518098,848.0500982668002,34.88423562364491
845.5848394412337,300.6753916115119,845.0541762152332,200.0000001494366
847.3967602489483,300.19992608049574,842.9442443504764,200.00008827067276
799.4311730852698,298.51001736320103,845.8774780091403,199.8998032794889
845.1745452913503,299.0363400615852,842.2491753499489,200.00002503469958
787.591263733038,301.1353131619105,849.4892559822158,199.76284641900583
847.9148837067346,299.3156509796901,846.0826807267298,200.00000615064633
842.2472425687523,300.3449085730019,842.7503081224302,199.99999987268671
753.9063575633337,299.0506060624175,844.1736147358532,199.26448634649157
724.1631353271681,301.3665368167211,846.6500543656609,198.16232320065458
300.1215930283747,299.9843533776407,844.2816264635203,38.86869523524871
739.9460347598792,300.86001330833886,847.9166261090811,198.7413167873167
796.6858149817689,298.9926951753491,849.7689572359652,199.8504212605403
550.4564342307015,300.27590366718334,848.5027451234088,173.52406830499203
801.1598835866745,300.21809648842753,848.1048995872121,199.8965409528538
795.9538581021474,301.6075497342329,842.3612507963697,199.9000548998672
849.7711367533886,298.7565423420556,847.6945174773804,200.0000089551042
846.5828723529104,302.8633283854743,851.3836396837473,199.9998893549536
850.6695928958867,302.21824375138726,850.0008560483802,200.0000002990651
841.4667597479677,299.8713255030877,846.2163373834032,199.99989285671126
846.9575316840084,299.35722111917937,847.7071392430194,199.99999957878688
848.7548270977732,300.1700762675851,852.266110151229,199.9999567090096
844.4555123751221,297.835503164076,844.7352400612584,199.999999978112
846.2052260779435,300.2257694886538,845.6430452158463,200.00000017767576
849.5948646655673,298.8039892241313,843.461970638942,200.0002306727967
848.7733554234309,299.66698849642177,849.4629180645993,199.99999967211528
847.3348499143792,299.352361995718,843.9853673835743,200.0000375779558
846.7533235562859,297.3097129318882,841.4553471803915,200.0001487065343
738.5389889479277,300.4401989256669,846.2282657206725,198.75112957531675
300.8254381657779,299.35466507639154,844.0309676441287,39.71512369501616
789.8548990745792,300.62768407904645,842.3921760078503,199.85498842244897
840.6085475447113,301.50839138290377,842.8678926394817,199.99998846685608
644.0760185823086,299.0231879987768,844.7922687161818,191.91374180793613
841.7092072105779,301.48504943578854,847.1148399387426,199.99984204273477
646.6196557800389,299.3743554001948,844.8265202378764,192.21325282954757
646.3638331048691,300.0013429159985,845.053693435307,192.15618912958533
299.46965512078947,298.67819370621106,846.0416134397294,36.71659818497443
650.8807487185111,299.6920036494785,846.5829270583562,192.50473522283377
648.2760098982425,298.68785857792074,841.670937346412,192.76672067556137
651.4042820989347,300.57230330725406,851.2943567381172,192.01318379447542
